"","a1","a2"
"EDDEP04",3.72406770324285,0
"EDDEP05",3.266609414087,0
"EDDEP06",3.35172170758214,0
"EDDEP07",2.4637308232796,0
"EDDEP09",3.49060228051263,0
"EDDEP14",2.55915604778033,0
"EDDEP17",3.18820568845836,0
"EDDEP19",3.23906856912754,0
"EDDEP21",2.59956001431345,0
"EDDEP22",3.61550749652262,0
"EDDEP23",2.51151029681964,0
"EDDEP26",2.89635979365344,0
"EDDEP27",2.88072492327179,0
"EDDEP28",2.50557760327977,0
"EDDEP29",3.56180083812729,0
"EDDEP30",2.30008901131115,0
"EDDEP31",2.79713919195293,0
"EDDEP35",2.80432019334397,0
"EDDEP36",3.75420877440679,0
"EDDEP39",2.91100300387969,0
"EDDEP41",4.23342425393732,0
"EDDEP42",2.15892923425245,0
"EDDEP44",2.44241578570318,0
"EDDEP45",2.55782000082196,0
"EDDEP46",2.50621702049948,0
"EDDEP48",3.13994801097286,0
"EDDEP50",2.13482162790075,0
"EDDEP54",2.89351590322648,0
"CESD1",0,2.02165370324336
"CESD2",0,1.20402487371281
"CESD3",0,3.43238913624612
"CESD4",0,1.13815159367069
"CESD5",0,1.55333888480274
"CESD6",0,3.5686597182081
"CESD7",0,1.77342481855021
"CESD8",0,1.34296721514011
"CESD9",0,2.9077051462663
"CESD10",0,1.9897899725764
"CESD11",0,1.02814512873821
"CESD12",0,2.23181953293329
"CESD13",0,1.25283086384028
"CESD14",0,2.14309125371796
"CESD15",0,1.35823183035059
"CESD16",0,2.10834378113186
"CESD17",0,1.69923306122896
"CESD18",0,2.74569323960202
"CESD19",0,1.7852213543656
"CESD20",0,1.45848177403764
